N,k,Global_Accuracy,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1000,1,0.8139166666666666,0.7823333333333333,0.963,0.7195,0.818,0.6896666666666667,0.7961666666666667,0.5583333333333333,0.9216666666666666,0.937,0.9535
1000,2,0.8157333333333333,0.8841666666666667,0.9655,0.828,0.8183333333333334,0.6288333333333334,0.8653333333333333,0.392,0.9488333333333333,0.9086666666666666,0.9176666666666666
1000,5,0.8259333333333333,0.8488333333333333,0.9525,0.7676666666666667,0.8498333333333333,0.7143333333333334,0.7905,0.5116666666666667,0.9348333333333333,0.9305,0.9586666666666667
1000,10,0.82235,0.858,0.945,0.7506666666666667,0.853,0.7083333333333334,0.782,0.5101666666666667,0.9378333333333333,0.9245,0.954
1000,15,0.8156333333333333,0.852,0.9398333333333333,0.7453333333333333,0.8466666666666667,0.7136666666666667,0.7506666666666667,0.5075,0.9258333333333333,0.9185,0.9563333333333334
1000,20,0.8118333333333333,0.8506666666666667,0.9381666666666667,0.7333333333333333,0.844,0.7153333333333334,0.7443333333333333,0.501,0.9273333333333333,0.9126666666666666,0.9515
1500,1,0.8228909090909091,0.7852727272727272,0.9641818181818181,0.7223636363636363,0.8290909090909091,0.6989090909090909,0.8138181818181818,0.5929090909090909,0.9361818181818182,0.9367272727272727,0.9494545454545454
1500,2,0.8242363636363637,0.8938181818181818,0.9669090909090909,0.8254545454545454,0.8323636363636364,0.6396363636363637,0.8696363636363637,0.4330909090909091,0.9565454545454546,0.9072727272727272,0.9176363636363636
1500,5,0.8335272727272727,0.8441818181818181,0.9556363636363636,0.7618181818181818,0.8492727272727273,0.7394545454545455,0.7909090909090909,0.5578181818181818,0.9463636363636364,0.9312727272727273,0.9585454545454546
1500,10,0.8322,0.8707272727272727,0.952,0.7585454545454545,0.8514545454545455,0.7341818181818182,0.7834545454545454,0.5441818181818182,0.9501818181818181,0.9252727272727272,0.952
1500,15,0.8259090909090909,0.8636363636363636,0.9465454545454546,0.7432727272727273,0.8458181818181818,0.7390909090909091,0.7521818181818182,0.5492727272727272,0.9407272727272727,0.9203636363636364,0.9581818181818181
1500,20,0.8230545454545455,0.8650909090909091,0.9450909090909091,0.7383636363636363,0.8474545454545455,0.7314545454545455,0.75,0.5430909090909091,0.9407272727272727,0.9170909090909091,0.9521818181818181
2000,1,0.8308,0.8264,0.964,0.7412,0.8208,0.7084,0.8186,0.5874,0.9284,0.9486,0.9642
2000,2,0.82916,0.9108,0.967,0.8374,0.8216,0.646,0.872,0.4272,0.9504,0.9214,0.9378
2000,5,0.83642,0.8686,0.9564,0.788,0.8406,0.7336,0.7944,0.5432,0.9336,0.939,0.9668
2000,10,0.83286,0.8848,0.9502,0.7826,0.838,0.7294,0.7854,0.5236,0.9376,0.9332,0.9638
2000,15,0.8284,0.8828,0.9478,0.7686,0.8334,0.7364,0.762,0.525,0.9296,0.932,0.9664
2000,20,0.82576,0.8842,0.9436,0.7636,0.8342,0.734,0.753,0.5204,0.931,0.9296,0.964
2500,1,0.8348666666666666,0.806,0.9706666666666667,0.7635555555555555,0.8342222222222222,0.7066666666666667,0.834,0.5897777777777777,0.9431111111111111,0.9482222222222222,0.9524444444444444
2500,2,0.8340222222222222,0.8997777777777778,0.9726666666666667,0.8528888888888889,0.8406666666666667,0.6437777777777778,0.8864444444444445,0.43533333333333335,0.9626666666666667,0.9193333333333333,0.9266666666666666
2500,5,0.8428666666666667,0.8586666666666667,0.962,0.8026666666666666,0.8504444444444444,0.7451111111111111,0.8062222222222222,0.5551111111111111,0.9484444444444444,0.9384444444444444,0.9615555555555556
2500,10,0.8408444444444444,0.876,0.9555555555555556,0.7984444444444444,0.8548888888888889,0.7477777777777778,0.7948888888888889,0.5373333333333333,0.9482222222222222,0.9368888888888889,0.9584444444444444
2500,15,0.8340666666666666,0.868,0.9524444444444444,0.7806666666666666,0.8526666666666667,0.7506666666666667,0.768,0.5348888888888889,0.9406666666666667,0.9306666666666666,0.962
2500,20,0.8308222222222222,0.8711111111111111,0.9502222222222222,0.7731111111111111,0.8515555555555555,0.7442222222222222,0.7622222222222222,0.5302222222222223,0.94,0.926,0.9595555555555556
3000,1,0.84075,0.80925,0.96825,0.7615,0.849,0.7195,0.839,0.607,0.9405,0.95225,0.96125
3000,2,0.83975,0.898,0.97075,0.852,0.848,0.6655,0.886,0.4475,0.965,0.9315,0.93325
3000,5,0.8471,0.862,0.95975,0.80325,0.866,0.75525,0.80025,0.565,0.949,0.9465,0.964
3000,10,0.843375,0.8795,0.95825,0.793,0.87025,0.753,0.7865,0.54225,0.94925,0.942,0.95975
3000,15,0.838975,0.87825,0.95325,0.776,0.86425,0.75725,0.765,0.55025,0.9405,0.93725,0.96775
3000,20,0.8367,0.88225,0.95075,0.773,0.8635,0.74925,0.7605,0.54725,0.94025,0.93475,0.9655
3500,1,0.8434285714285714,0.8065714285714286,0.9697142857142858,0.7742857142857142,0.8577142857142858,0.726,0.8414285714285714,0.5997142857142858,0.9437142857142857,0.9577142857142857,0.9574285714285714
3500,2,0.8403428571428572,0.9082857142857143,0.9722857142857143,0.854,0.8534285714285714,0.6682857142857143,0.8902857142857142,0.4268571428571429,0.9631428571428572,0.9362857142857143,0.9305714285714286
3500,5,0.8479142857142857,0.8694285714285714,0.962,0.8082857142857143,0.8628571428571429,0.7568571428571429,0.812,0.5485714285714286,0.9491428571428572,0.9462857142857143,0.9637142857142857
3500,10,0.8461714285714286,0.8811428571428571,0.9582857142857143,0.8051428571428572,0.8688571428571429,0.756,0.8,0.5357142857142857,0.9531428571428572,0.9445714285714286,0.9588571428571429
3500,15,0.8419714285714286,0.876,0.954,0.7885714285714286,0.8671428571428571,0.7628571428571429,0.7814285714285715,0.5468571428571428,0.9402857142857143,0.9405714285714286,0.962
3500,20,0.8387428571428571,0.88,0.9511428571428572,0.7825714285714286,0.864,0.7625714285714286,0.7794285714285715,0.5311428571428571,0.9411428571428572,0.9368571428571428,0.9585714285714285
4000,1,0.8436666666666667,0.822,0.9723333333333334,0.7636666666666667,0.835,0.729,0.8473333333333334,0.6153333333333333,0.9406666666666667,0.9546666666666667,0.9566666666666667
4000,2,0.8420666666666666,0.9096666666666666,0.975,0.8506666666666667,0.8463333333333334,0.681,0.8946666666666667,0.4523333333333333,0.96,0.9276666666666666,0.9233333333333333
4000,5,0.8509666666666666,0.8703333333333333,0.9673333333333334,0.8083333333333333,0.87,0.761,0.817,0.5686666666666667,0.9426666666666667,0.945,0.9593333333333334
4000,10,0.8476333333333333,0.876,0.961,0.801,0.8703333333333333,0.7653333333333333,0.805,0.553,0.952,0.94,0.9526666666666667
4000,15,0.8436666666666667,0.8716666666666667,0.9556666666666667,0.7883333333333333,0.8646666666666667,0.774,0.7836666666666666,0.561,0.9416666666666667,0.9366666666666666,0.9593333333333334
4000,20,0.8404,0.876,0.955,0.7763333333333333,0.8623333333333333,0.7716666666666666,0.784,0.548,0.9416666666666667,0.934,0.955
4500,1,0.8484,0.8064,0.9788,0.7668,0.8624,0.7372,0.8496,0.6192,0.9512,0.9596,0.9528
4500,2,0.84748,0.9076,0.9812,0.8504,0.8548,0.6796,0.9,0.4684,0.9696,0.9368,0.9264
4500,5,0.85812,0.8652,0.9716,0.8076,0.8852,0.7704,0.8208,0.5916,0.9544,0.9536,0.9608
